"Date","Plan..KZT","Fact..KZT..with.discount.","Fact..KZT..without.discount.","Diff..KZT","Average.discount","Traffic","Receipt..customers.","Sold.pcs","pcs..customers","Averame.amount.of.cheque","Average.price.piece","Qty.of.hours","Productivity","Cost.of.sales"
"1/1/2016",1711959,662900,1252950,-1049059,47.09,638,41,61,1.49,16168.29,10867.21,16,41431,340378
"1/2/2016",2853264,2275290,3660850,-577974,37.85,1507,103,163,1.58,22090.19,13958.83,32,71103,908362
"1/3/2016",2282606,1782140,2976800,-500466,40.13,1179,85,124,1.46,20966.35,14372.1,24,74256,727384
"1/4/2016",1141306,1961640,3334000,820334,41.16,1191,96,140,1.46,20433.75,14011.71,24,81735,893687
"1/5/2016",1141306,1131760,1819850,-9546,37.81,622,51,83,1.63,22191.37,13635.66,8,141470,458621
"1/6/2016",1141306,1327130,2103700,185824,36.91,689,49,86,1.76,27084.29,15431.74,8,165891,535484
"1/7/2016",1141306,1221810,2127800,80504,42.58,1000,75,104,1.39,16290.8,11748.17,16,76363,530256
"1/8/2016",1711959,1001260,1621000,-710699,38.23,666,48,80,1.67,20859.58,12515.75,24,41719,402696
"1/9/2016",2853264,2048270,3356550,-804994,38.98,1022,71,149,2.1,28848.87,13746.78,36,56896,769270
"1/10/2016",2282606,1564250,2767650,-718356,43.48,910,64,127,1.98,24441.41,12316.93,24,65177,663726
"1/11/2016",1141306,705300,1262050,-436006,44.11,501,43,59,1.37,16402.33,11954.24,16,44081,329076
"1/12/2016",1141306,700740,1165400,-440566,39.87,484,40,52,1.3,17518.5,13475.77,16,43796,275943
"1/13/2016",1141306,674950,1054800,-466356,36.01,375,32,44,1.38,21092.19,15339.77,24,28123,266600
"1/14/2016",1141306,882900,1507900,-258406,41.45,441,36,62,1.72,24525,14240.32,24,36788,376357
"1/15/2016",1711959,693450,1258300,-1018509,44.89,382,38,54,1.42,18248.68,12841.67,24,28894,346519
"1/16/2016",2853264,1405860,2378750,-1447404,40.9,872,72,105,1.46,19525.83,13389.14,40,35147,569385
"1/17/2016",2282606,1237640,2211650,-1044966,44.04,744,68,107,1.57,18200.59,11566.73,46,26905,552661
"1/18/2016",1141306,698150,1090750,-443156,35.99,427,26,45,1.73,26851.92,15514.44,24,29090,259813
"1/19/2016",1141306,576000,1035250,-565306,44.36,418,36,55,1.53,16000,10472.73,24,24000,233120
"1/20/2016",1141306,553670,957550,-587636,42.18,452,39,49,1.26,14196.67,11299.39,24,23070,211527
"1/21/2016",1141306,903400,1546050,-237906,41.57,440,39,79,2.03,23164.1,11435.44,24,37642,377667
"1/22/2016",1711959,869890,1647600,-842069,47.2,505,45,88,1.96,19330.89,9885.11,32,27184,371335
"1/23/2016",2853264,1818520,3239700,-1034744,43.87,1130,95,166,1.75,19142.32,10954.94,48,37886,733814
"1/24/2016",2282606,1342910,2560150,-939696,47.55,963,78,123,1.58,17216.79,10917.97,40,33573,625147
"1/25/2016",1141306,430720,949350,-710586,54.63,362,32,53,1.66,13460,8126.79,16,26920,233943
"1/26/2016",1141306,770600,1471900,-370706,47.65,479,39,82,2.1,19758.97,9397.56,16,48163,342067
"1/27/2016",1141306,642560,1229700,-498746,47.75,433,40,66,1.65,16064,9735.76,32,20080,284505
"1/28/2016",1141306,944670,2196700,-196636,57,571,61,106,1.74,15486.39,8911.98,33,28626,571433
"1/29/2016",1711959,1239550,2511650,-472409,50.65,769,63,127,2.02,19675.4,9760.24,32,38736,619367
"1/30/2016",2853264,2194500,4911800,-658764,55.32,1284,114,236,2.07,19250,9298.73,48,45719,1244372
"1/31/2016",2282567,2775830,5742400,493263,51.66,1271,114,258,2.26,24349.39,10759.03,40,69396,1492954
"2/1/2016",1268293,647350,1434600,-620943,54.88,342,43,68,1.58,15054.65,9519.85,24,26973,365286
"2/2/2016",1268293,1013660,2308050,-254633,56.08,424,42,99,2.36,24134.76,10238.99,24,42236,592815
